Bag,Type ,Red ,Orange,Yellow,Green,Blue ,Brown
1,1,4,8,5,4,6,3
2,1,5,9,5,3,6,2
3,1,4,6,4,2,8,6
4,1,5,9,4,3,5,4
5,1,4,9,5,5,6,1
6,1,1,7,2,11,4,5
7,1,4,4,3,5,5,8
8,1,5,6,5,6,5,3
9,1,3,6,7,6,6,3
10,1,2,6,5,6,7,4
11,1,1,4,5,6,10,4
12,1,9,8,2,2,5,4
13,1,5,4,4,4,7,6
14,1,3,5,2,5,7,8
15,1,3,4,8,10,2,3
16,1,2,9,5,5,4,5
17,1,3,8,4,5,3,5
18,1,8,5,3,2,8,4
19,1,3,7,3,5,9,3
20,1,4,7,3,3,9,4
21,1,3,5,9,6,3,4
22,1,4,5,3,3,9,6
23,1,3,10,3,4,4,6
24,1,5,9,3,2,9,2
25,1,2,8,6,1,6,7
26,1,4,6,6,5,5,4
27,1,7,7,4,3,5,4
28,1,3,7,5,6,5,4
29,1,3,8,5,4,7,3
30,1,8,6,5,1,6,4
31,1,4,7,6,2,8,3
32,1,6,9,3,3,3,6
33,1,4,7,1,6,6,6
34,1,4,7,4,3,8,4
35,1,4,11,5,4,4,1
36,1,6,4,4,6,5,5
37,1,5,3,2,8,6,6
38,1,3,6,4,5,2,10
39,1,3,7,8,6,3,3
40,1,4,10,4,6,4,2
41,1,4,9,1,4,9,3
42,1,5,9,5,5,2,3
43,1,5,3,5,5,6,6
44,2,1,8,2,0,15,3
45,2,4,10,4,3,5,4
46,2,3,8,2,7,5,5
47,2,9,5,3,7,4,2
48,2,5,10,2,4,5,4
49,2,4,6,0,4,8,8
50,2,1,13,2,1,10,3
51,2,3,10,3,2,8,4
52,2,2,11,4,3,9,2
53,2,2,8,4,6,7,3
54,2,3,10,3,2,11,2
55,2,5,9,2,4,6,3
56,2,2,8,4,3,10,3
57,2,6,10,2,1,5,6
58,2,6,8,6,2,5,3
59,2,5,6,5,3,9,0
60,2,6,8,3,3,7,4
61,2,3,7,4,8,4,3
62,2,1,7,6,6,7,3
63,2,3,6,6,4,8,3
64,2,4,6,5,4,6,5
65,2,1,6,7,4,8,4
66,2,7,10,2,3,5,3
67,1,3,13,6,4,2,2
68,1,3,9,5,3,5,5
69,1,3,4,6,4,8,5
70,1,4,5,2,6,7,6
71,1,4,8,3,4,8,3
72,1,5,10,3,6,4,2
73,1,2,8,10,1,7,2
74,1,5,7,2,4,5,7
75,1,5,4,10,5,3,3
76,1,4,9,6,3,5,3
77,1,3,6,4,7,3,7
78,1,3,6,6,4,6,5
79,1,6,5,4,4,8,3
80,1,5,6,6,6,4,3
81,1,2,7,7,4,6,4
82,1,4,4,9,4,7,2
83,1,4,9,2,8,6,1
84,1,2,8,5,6,7,2
85,1,5,7,2,5,8,3
86,1,3,9,3,8,6,1
87,1,2,12,5,3,4,4
88,1,4,7,4,5,6,4
89,1,2,6,7,3,6,6
90,1,7,5,2,7,3,6
91,1,3,4,8,5,3,7
92,1,5,5,4,6,6,4
93,1,5,6,4,5,6,3
94,1,4,6,7,1,8,4
95,1,4,7,9,1,5,4
96,1,4,6,5,7,4,4
97,2,1,11,3,4,3,8
98,2,8,3,4,3,11,1
99,2,3,9,3,5,7,3
100,2,3,11,5,5,5,1
101,2,3,4,7,6,9,1
102,2,6,8,4,4,5,3
103,2,3,11,5,4,7,0
104,2,3,7,7,6,6,1
105,2,8,7,2,3,8,2
106,2,2,5,2,3,13,5
107,2,2,10,3,4,5,6
108,2,3,9,7,0,7,4
109,2,3,8,3,6,9,1
110,2,7,9,3,1,7,3
111,2,2,12,3,3,6,4
112,2,2,10,3,2,5,6
113,2,1,11,5,3,8,3
114,2,5,4,4,3,9,2
115,2,2,10,3,4,8,3
116,2,3,7,7,6,3,4
117,2,5,7,3,2,5,10
118,2,2,8,4,3,11,2
119,2,1,7,3,7,9,3
120,2,7,5,3,3,7,4
121,2,1,9,5,6,7,2
122,2,5,6,1,4,9,5
123,2,3,10,1,6,6,4
124,2,3,4,3,6,8,4
125,2,1,7,6,1,9,6
126,2,6,7,3,0,10,4
127,2,5,5,2,8,6,3
128,2,4,6,7,2,5,6
129,2,2,9,6,3,8,2
130,2,7,5,5,2,8,3
131,2,6,7,1,3,11,2
132,2,2,8,6,4,8,2
133,2,1,8,5,6,7,4
134,2,2,8,3,4,6,5
135,2,4,11,2,4,5,4
136,2,5,7,2,5,8,3
137,2,5,5,4,4,9,3
138,2,5,5,5,2,4,9
139,2,2,7,5,4,9,3
140,2,4,7,1,5,9,3
141,2,3,9,7,0,7,4
142,2,6,6,3,5,6,4
143,2,3,10,7,3,6,1
144,2,6,8,1,6,6,3
145,2,3,9,1,6,5,6
146,2,6,4,5,3,10,2
